,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL
275,Star Wars™: KOTOR,GAME_ROLE_PLAYING,4.5,39944,$9.99,100000,"Aspyr Media, Inc.",https://play.google.com/store/apps/details?id=com.aspyr.swkotor
276,Evoland,GAME_ROLE_PLAYING,4.4,7385,$0.99,100000,Playdigious,https://play.google.com/store/apps/details?id=air.com.shirogames.evoland12
277,Doom & Destiny Advanced,GAME_ROLE_PLAYING,4.7,6879,$0.99,50000,Heartbit Interactive Srl,https://play.google.com/store/apps/details?id=hb.doom_and_destiny_advanced
278,Monster Hunter Stories,GAME_ROLE_PLAYING,4.6,3954,$19.99,10000,"CAPCOM CO., LTD.",https://play.google.com/store/apps/details?id=jp.co.capcom.mhsspen
279,Neverwinter Nights: Enhanced Edition,GAME_ROLE_PLAYING,3.6,591,$9.99,10000,Beamdog,https://play.google.com/store/apps/details?id=com.beamdog.nwnandroid
280,FINAL FANTASY VII,GAME_ROLE_PLAYING,3.3,7299,$15.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFVII
281,EvoCreo,GAME_ROLE_PLAYING,4.3,25730,$0.99,100000,ilmfinity,https://play.google.com/store/apps/details?id=ilmfinity.evocreo.main.android
282,Everybody's RPG,GAME_ROLE_PLAYING,4.5,17956,$0.99,100000,NomadGames,https://play.google.com/store/apps/details?id=com.nomadgames.everybodyrpgpay
283,CHRONO TRIGGER (Upgrade Ver.),GAME_ROLE_PLAYING,3.9,11669,$9.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.chrono
284,Alter Ego,GAME_ROLE_PLAYING,4.3,1546,$4.99,10000,Choose Multiple LLC,https://play.google.com/store/apps/details?id=com.playalterego.android
285,Doom & Destiny,GAME_ROLE_PLAYING,4.8,18503,$0.99,50000,Heartbit Interactive Srl,https://play.google.com/store/apps/details?id=hb.doom_and_destiny
286,Sword Knights : Idle RPG (Premium),GAME_ROLE_PLAYING,4.6,1802,$0.99,50000,Honeydew Games,https://play.google.com/store/apps/details?id=com.honeydew.stealerpremium
287,Baldur's Gate: Enhanced Edition,GAME_ROLE_PLAYING,4.5,20943,$9.99,100000,Beamdog,https://play.google.com/store/apps/details?id=com.beamdog.baldursgateenhancededition
288,Rogue Hearts,GAME_ROLE_PLAYING,4.6,6953,$0.99,100000,Ninetail Games,https://play.google.com/store/apps/details?id=com.ninetailgames.roguehearts.paid
289,Nimian Legends : BrightRidge,GAME_ROLE_PLAYING,4.4,1493,$2.99,10000,Protopop Games,https://play.google.com/store/apps/details?id=com.protopop.brightridge
290,DRAGON QUEST,GAME_ROLE_PLAYING,4.2,9942,$2.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq1_gp
291,ICEY,GAME_ROLE_PLAYING,4.5,4092,$2.99,50000,X.D. Network,https://play.google.com/store/apps/details?id=com.fantablade.icey
292,Evoland 2,GAME_ROLE_PLAYING,4.3,3225,$4.99,50000,Playdigious,https://play.google.com/store/apps/details?id=com.playdigious.evoland2
293,Day R Premium,GAME_ROLE_PLAYING,4.7,58914,$2.49,100000,tltGames,https://play.google.com/store/apps/details?id=com.gm_shaber.dayrpremium
294,Pocket Rogues: Ultimate,GAME_ROLE_PLAYING,4.7,1959,$2.99,10000,EtherGaming,https://play.google.com/store/apps/details?id=com.EtherGaming.PocketRoguesUltimate
295,Attack the Light,GAME_ROLE_PLAYING,4.7,19770,$2.99,100000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.stevenrpg
296,80 Days,GAME_ROLE_PLAYING,4.6,6345,$4.99,50000,inkle Ltd,https://play.google.com/store/apps/details?id=com.inkle.eightydays
297,A Dark Room ®,GAME_ROLE_PLAYING,4.7,6818,$1.99,100000,Amir Rajan,https://play.google.com/store/apps/details?id=com.yourcompany.adarkroom
298,Siralim 3 (Monster Taming RPG),GAME_ROLE_PLAYING,4.9,369,$4.99,1000,"Thylacine Studios, LLC",https://play.google.com/store/apps/details?id=com.thylacinestudios.siralim3
299,Goat Simulator MMO Simulator,GAME_ROLE_PLAYING,4.2,5618,$4.99,100000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator.mmo
300,Mini Metro,GAME_SIMULATION,4.8,16064,$0.99,100000,Dinosaur Polo Club,https://play.google.com/store/apps/details?id=nz.co.codepoint.minimetro
301,Poly Bridge,GAME_SIMULATION,4.6,3033,$0.99,100000,Dry Cactus Limited,https://play.google.com/store/apps/details?id=com.drycactus.polybridge
302,Farming Simulator 18,GAME_SIMULATION,4.5,24965,$4.99,500000,GIANTS Software,https://play.google.com/store/apps/details?id=com.giantssoftware.fs18.google
303,Game Dev Tycoon,GAME_SIMULATION,4.9,21201,$4.99,100000,Greenheart Games,https://play.google.com/store/apps/details?id=com.greenheartgames.gdt
304,Goat Simulator,GAME_SIMULATION,4.3,100930,$4.99,1000000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator
305,Pocket City,GAME_SIMULATION,4.6,2814,$3.99,100000,Codebrew Games,https://play.google.com/store/apps/details?id=com.codebrewgames.pocketcitygame
306,FINAL FANTASY TACTICS : WotL,GAME_SIMULATION,4.2,13062,$11.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFT_en2
307,Getting Over It with Bennett Foddy,GAME_SIMULATION,3.9,1023,$4.99,10000,Noodlecake Studios Inc,https://play.google.com/store/apps/details?id=com.noodlecake.gettingoverit
308,Infinite Flight - Flight Simulator,GAME_SIMULATION,4.3,57274,$4.99,500000,Infinite Flight LLC,https://play.google.com/store/apps/details?id=com.fds.infiniteflight
309,Project Highrise,GAME_SIMULATION,4.6,969,$3.99,10000,Kalypso Media Mobile GmbH,https://play.google.com/store/apps/details?id=com.kalypsomedia.projecthighrise
310,Goat Simulator Payday,GAME_SIMULATION,4.4,3072,$4.99,50000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator.payday
311,Youtubers Life: Gaming Channel,GAME_SIMULATION,4.2,6981,$8.99,100000,U-Play Online,https://play.google.com/store/apps/details?id=com.uplayonline.youtubers
312,Solar 2,GAME_SIMULATION,4.4,3730,$2.99,10000,Murudai,https://play.google.com/store/apps/details?id=com.murudai.Solar2
313,Truck Simulator PRO 2,GAME_SIMULATION,3.8,1721,$5.49,10000,Mageeks Apps & Games,https://play.google.com/store/apps/details?id=com.mageeks.android.trucksimulatorpro2
314,Goat Simulator Waste of Space,GAME_SIMULATION,4.3,4749,$4.99,100000,Coffee Stain Publishing,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator.wasteofspace
315,One Hour One Life for Mobile,GAME_SIMULATION,4.6,1969,$4.99,10000,Dual Decade,https://play.google.com/store/apps/details?id=com.wereviz.evolution
316,911 Operator,GAME_SIMULATION,4.5,3746,$6.49,50000,Games Operators,https://play.google.com/store/apps/details?id=com.jutsugames.operator911
317,Pocket Aquarium,GAME_SIMULATION,4.3,123,$0.99,10000,LinkLock,https://play.google.com/store/apps/details?id=com.linklock.pocketaquarium
318,My Child Lebensborn,GAME_SIMULATION,4.8,920,$2.99,10000,Sarepta Studio,https://play.google.com/store/apps/details?id=com.Sarepta.MyChildLebensborn
319,Construction Simulator 2,GAME_SIMULATION,4.1,7373,$2.99,100000,astragon Entertainment GmbH,https://play.google.com/store/apps/details?id=com.astragon.cs2016
320,SPACEPLAN,GAME_SIMULATION,4.4,1610,$2.99,10000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.spaceplan
321,Farming Simulator 16,GAME_SIMULATION,4.2,33995,$2.99,500000,GIANTS Software,https://play.google.com/store/apps/details?id=com.giantssoftware.fs16
322,SimplePlanes,GAME_SIMULATION,4.4,10062,$4.99,100000,"Jundroo, LLC",https://play.google.com/store/apps/details?id=com.jundroo.SimplePlanes
323,Farming USA 2,GAME_SIMULATION,4.6,3300,$3.99,10000,Bowen Games LLC,https://play.google.com/store/apps/details?id=com.bowengames.farmingusa2
324,SIMULACRA - Found phone horror mystery,GAME_SIMULATION,4.9,3875,$4.99,10000,Kaigan Games OÜ,https://play.google.com/store/apps/details?id=com.kaigan.simulacra
325,NBA 2K19,GAME_SPORTS,3.8,6433,$7.99,50000,"2K, Inc.",https://play.google.com/store/apps/details?id=com.t2ksports.nba2k19and
326,True Skate,GAME_SPORTS,4.4,134171,$1.99,1000000,True Axis,https://play.google.com/store/apps/details?id=com.trueaxis.trueskate
327,NBA JAM  by EA SPORTS™,GAME_SPORTS,4.3,56771,$4.99,500000,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.eamobile.nbajam_na_wf
328,Football Manager 2019 Mobile,GAME_SPORTS,4.0,7155,$8.99,100000,SEGA,https://play.google.com/store/apps/details?id=football.manager.games.fm19.mobile
329,WWE 2K,GAME_SPORTS,3.9,11912,$5.99,100000,"2K, Inc.",https://play.google.com/store/apps/details?id=com.t2ksports.wwe2k15mobile
330,Clay Hunt PRO,GAME_SPORTS,4.3,261,$4.99,5000,Shotgun Gaming Oy,https://play.google.com/store/apps/details?id=com.aleksirantonen.clayhuntpro
331,Skater,GAME_SPORTS,3.8,4563,$5.49,50000,The Skater Team,https://play.google.com/store/apps/details?id=com.froschmedia.skater
332,OK Golf,GAME_SPORTS,4.3,1320,$2.99,50000,Playdigious,https://play.google.com/store/apps/details?id=com.okidokico.okgolf
333,R.B.I. Baseball 18,GAME_SPORTS,3.9,326,$4.99,5000,"MLB Advanced Media, L.P.",https://play.google.com/store/apps/details?id=com.mlb.RBIBaseball2018
334,Flick Golf!,GAME_SPORTS,4.3,14495,$0.99,500000,Full Fat,https://play.google.com/store/apps/details?id=com.fullfat.android.flickgolf
335,Dude Perfect,GAME_SPORTS,4.0,8187,$0.99,100000,Dude Perfect,https://play.google.com/store/apps/details?id=com.dudeperfect.dudeperfect
336,Ice Fishing Derby Premium,GAME_SPORTS,4.2,233,$2.99,5000,Pishtech LLC,https://play.google.com/store/apps/details?id=com.pishtech.mifdp
337,Sumotori Dreams,GAME_SPORTS,4.1,13256,$1.39,100000,Gravitysensation,https://play.google.com/store/apps/details?id=com.gravitysensation.sumotori
